transactionHash,if_is_anomaly,ae_is_anomaly,fusion_union_anom,fusion_intersection_anom,fusion_ensemble_anom,if_anom_score,ae_anom_score,fusion_score
0x9be5d36bac1f592090e4aef370ba82230495d65879076129f12e8d401d907e66,False,False,False,False,False,0.16287841521845006,0.0004095702734106537,0.08164399274593036
0xebf7e1bbbfea45d75088dd4c60bdac69ef235e59f191e2c6d58c67e1f60a4027,False,False,False,False,False,0.20946789752359646,0.0007228876004905075,0.10509539256204348
0x87ca3789964c941907506d4717df2b0f57fc354cbb9378e682f8e55f9e993ab9,False,False,False,False,False,0.07536696884253828,0.00020205898178396136,0.03778451391216112
0xf18fe167685ad3d915b2e2102bf4844ec3595eba1f35b7fe948e1ed97faddaec,False,False,False,False,False,0.10962782426587309,0.0001429182967117669,0.05488537128129243
0x9d109084b90efd1d2c9e44bd668bb3177fa5525d670d8a39f566e4c99c6bd395,False,False,False,False,False,0.06417782980373891,0.0001546681940606254,0.03216624899889977
0x260398b8246b60c58f652b4ba14e897b26f1093eb511f3242af84411bb5d9936,False,False,False,False,False,0.062699462427495,0.00010007735079966798,0.03139976988914733
0x1e9ac737726f56b905e1812e04665967f35904ffd5ed33c3bf28c8c3e4e6a2fe,False,False,False,False,False,0.06839022020297936,0.00021397010359807848,0.03430209515328872
0x7e93d28e6147bde5d45a635cad5b165fac2aab65f800740f3b6155d1d1d9d154,False,False,False,False,False,0.07053589196237664,8.561920238668462e-05,0.03531075558238166
0xfd6d18354d694b7730386980ca696509ebac7e0aa7fcd2002f4626a31bd2b5f5,False,False,False,False,False,0.06509432477139031,0.0001475157955584809,0.032620920283474394
0x2916ec11be95c558ec19dc2ce31422f6dc424e53a93c93c90027bf4ba76fe29e,False,False,False,False,False,0.06341992586613997,0.00012275480357747413,0.03177134033485872
0xe24b27392adb9d96fc8eaee48b1a1e4580d7d537e984aae25e0e23197178f98a,False,False,False,False,False,0.42493549994447943,0.0007548123117754288,0.21284515612812743
0x03003223099163e6ce2dfebd3c4ef691c6aa68fc22e59faf9cd824ca70448627,False,False,False,False,False,0.24921488352387552,0.0009385787630057748,0.12507673114344064
0x1b47852ee249cf5d95c34ca4b24b1fe2ac22ad75dd2576548b221c232ce6345c,True,True,True,True,True,0.7392222738722313,0.022659395758591966,0.38094083481541163
0xa175103c0a59eb239417f64e323cbe263f41ad3b6fb3dc583c654face2ef5d62,False,False,False,False,False,0.057821495279128936,5.734291876759274e-05,0.028939419098948264
0x12665665eaa61b69107d5b646ae404961e3a1dff9828612be7733b6db9258fce,False,False,False,False,False,0.1024384928344695,0.0001894928102863783,0.05131399282237794
0xa1af6dc67e8aab348a283c7e390b57e24a40c320c363403ee8d74a0a610fa8be,False,False,False,False,False,0.4747675189887181,0.001003597206468724,0.2378855580975934
0xef59c863eb3b5d99cdeb393850890ee1882e38c6f8b9dcef2efe1fa514bc1da2,False,False,False,False,False,0.19704359681991349,0.0003824035317583755,0.09871300017583592
0x7edb9f8195d3da78e20305b4877187dbd03605e7e16701ae7a82b5f183d6f0e1,False,False,False,False,False,0.22027545933842377,0.00028412281875598254,0.11027979107858987
0xd16fc3be88add16a6ab40915188a08feca5c17da344db60b5b6e5e7ac44ff7e8,False,False,False,False,False,0.15264209108862165,0.00017572654124808643,0.07640890881493487
